,Site,Domain,Lat,Lon,pft,site_name,state
0,BART,1,44.06516,-71.28834,7,Bartlett Experimental Forest ,NH
1,HARV,1,42.53562,-72.17562,7,Harvard Forest & Quabbin Watershed ,MA
2,BLAN,2,39.06044,-78.07115,7,Blandy Experimental Farm ,VA
3,SCBI,2,38.89209,-78.13764,7,Smithsonian Conservation Biology Institute ,VA
4,SERC,2,38.89124,-76.55884,7,Smithsonian Environmental Research Center ,MD
5,DSNY,3,28.12919,-81.43394,14,Disney Wilderness Preserve ,FL
6,JERC,3,31.19608,-84.46647,1,The Jones Center At Ichauway ,GA
7,OSBS,3,29.68819,-81.99345,1,Ordway-Swisher Biological Station ,FL
8,GUAN,4,17.96882,-66.86888,6,Guanica Forest ,PR
9,LAJA,4,18.02184,-67.07608,14,Lajas Experimental Station ,PR
10,STEI,5,45.5076,-89.5888,7,Steigerwaldt-Chequamegon ,WI
11,TREE,5,45.49266,-89.58748,7,Treehaven ,WI
12,UNDE,5,46.14103,-89.3221,7,University of Notre Dame Environmental Research Center ,MI
13,KONA,6,39.10828,-96.61044,18,Konza Prairie Agroecosystem ,KS
14,KONZ,6,39.1007,-96.56227,14,Konza Prairie Biological Station ,KS
15,UKFS,6,39.04168,-95.20495,7,KU Field Station ,KS
16,GRSM,7,35.68839,-83.50185,7,Great Smoky Mountains National Park ,TN
17,MLBS,7,37.37783,-80.52425,7,Mountain Lake Biological Station ,VA
18,ORNL,7,35.57525,-84.16581,7,Oak Ridge ,TN
19,DELA,8,32.54092,-87.80341,7,Dead Lake ,AL
20,LENO,8,31.8531,-88.16103,7,Lenoir Landing ,AL
21,TALL,8,32.95106,-87.3941,1,Talladega National Forest ,AL
22,DCFS,9,47.15919,-99.11251,13,Dakota Coteau Field  ,ND
23,NOGP,9,46.76846,-100.91832,13,Northern Great Plains Research Laboratory ,ND
24,WOOD,9,47.12833,-99.23907,13,Chase Lake National Wildlife Refuge ,ND
25,CPER,10,40.81297,-104.74455,14,Central Plains Experimental Range ,CO
26,RMNP,10,40.27707,-105.54524,1,Rocky Mountains ,CO
27,STER,10,40.45984,-103.03008,18,North Sterling ,CO
28,CLBJ,11,33.40143,-97.56725,7,Lyndon B. Johnson National Grassland ,TX
29,OAES,11,35.41062,-99.06044,14,Marvin Klemme Range Research Station ,OK
30,YELL,12,44.95597,-110.54196,1,Yellowstone National Park ,WY
31,MOAB,13,38.25136,-109.38882,14,Moab ,UT
32,NIWO,13,40.05236,-105.58324,12,Niwot Ridge ,CO
33,JORN,14,32.59052,-106.84377,14,Jornada Experimental Range ,NM
34,SRER,14,31.91068,-110.83549,9,Santa Rita Experimental Range ,AZ
35,ONAQ,15,35.68839,-83.50185,9,Onaqui ,UT
36,ABBY,16,45.762378,-122.329672,1,Abby Road ,WA
37,WREF,16,45.81637,-121.95838,1,Wind River Experimental Forest ,WA
38,SJER,17,37.107117,-119.733,13,San Joaquin Experimental Range ,CA
39,SOAP,17,37.03269,-119.2621,1,Soaproot Saddle ,CA
40,TEAK,17,37.006472,-119.005758,1,Lower Teakettle ,CA
41,TOOL,17,68.66045,-149.370128,1,Toolik Field Station ,AK
42,BARR,18,71.281711,-156.650219,12,Utqiaġvik ,AK
43,BONA,19,65.15333,-147.50194,2,Caribou-Poker Creeks Research Watershed ,AK
44,DEJU,19,63.87983,-145.74765,2,Delta Junction ,AK
45,HEAL,19,63.8798,-149.21539,12,Healy ,AK
46,PUUM,20,19.55309,-155.31731,4,Puu Makaala Natural Area Reserve ,HI
